filename, timestamp, filetype, error type, column/header, issues
Mia_Kelcie-NFmLending-MultipleLOs-ClientData-Jul1522Update-R4I-Archive - Archive.csv,2022-07-18 10:56:01 -0600,Archive,data_validation,borr email,"[""na@gmail.com (row 212)""]"
Mia_Kelcie-NFmLending-MultipleLOs-ClientData-Jul1522Update-R4I-Archive - Archive.csv,2022-07-18 10:56:01 -0600,Archive,data_validation,co-borr email,"[""na@gmail.com (row 112)""]"
Mia_Kelcie-CardinalFinancial-JodiSorg-ClientData-Jul1222Update-R4I-Archive - Archive.csv,2022-07-18 10:56:01 -0600,Archive,data_validation,interest rate,"[""0 (row 109)"", ""0 (row 116)"", ""0 (row 118)"", ""0 (row 122)"", ""0 (row 128)"", ""0 (row 130)"", ""0 (row 137)"", ""0 (row 146)"", ""0 (row 158)"", ""0 (row 167)"", ""0 (row 184)"", ""0 (row 268)""]"
Mia_Kelcie-CrossCountryMortgage-MattWeaver-ClientData-Jul1522Update-R4I-Archive - Archive.csv,2022-07-18 10:56:01 -0600,Archive,data_validation,borr cell phone,"[""954-871 (row 130)""]"
Mia_Kelcie-CrossCountryMortgage-MattWeaver-ClientData-Jul1522Update-R4I-Archive - Archive.csv,2022-07-18 10:56:01 -0600,Archive,data_validation,borr email,"[""noemail@noemail.com (row 827)""]"
Kelcie_Carek-SpireFinancial-MultipleLOs-ClientData-Jul1122Update-R4I-Archive_Frontend - Archive.csv,2022-07-18 10:56:02 -0600,Archive,data_validation,subject property zip,"[""76049-1492 (row 79)""]"
Tyler_Carek-FairwayIndependentMortgageCo-RogerKube-ClientData-Jul1822Update-R4I-Archive - Archive.csv,2022-07-19 12:00:05 -0600,Archive,data_validation,co-borr cell phone,"[""909-223-309 (row 387)""]"
Carek_Tyler-MovementMortgage-AngieKnutson-ClientData-Jul1822Update-R4I-Archive - Archive.csv,2022-07-19 12:00:05 -0600,Archive,data_validation,interest rate,"[""0 (row 18)""]"
Ethan_Tyler-NFMLending-OlegTkach-ClientData-Jul1622Update-R4I-Archive - Archive.csv,2022-07-19 12:00:05 -0600,Archive,data_validation,subject property zip,"[""980582853 (row 75)""]"
Ethan_Tyler-AcademyMortgage-JBCorbeil-ClientData-Jul1822Update-R4I-Archive - Archive.csv,2022-07-19 12:00:05 -0600,Archive,data_validation,borr cell phone,"[""510386295 (row 212)""]"
Ethan_Tyler-AcademyMortgage-JBCorbeil-ClientData-Jul1822Update-R4I-Archive - Archive.csv,2022-07-19 12:00:05 -0600,Archive,data_validation,borr email,"[""Employee Loan (row 64)"", ""Employee Loan (row 65)"", ""Employee Loan (row 66)"", ""Employee Loan (row 140)"", ""Employee Loan (row 153)"", ""Employee Loan (row 155)"", ""Employee Loan (row 160)"", ""Employee Loan (row 187)"", ""Employee Loan (row 207)""]"
Ethan_Tyler-AcademyMortgage-JBCorbeil-ClientData-Jul1822Update-R4I-Archive - Archive.csv,2022-07-19 12:00:05 -0600,Archive,data_validation,co-borr email,"[""Employee Loan (row 64)"", ""Employee Loan (row 65)"", ""Employee Loan (row 66)""]"
